Data,Loja,Status
"02-04-2018 12:10:15",CARE_1811_FA1_RF1,1
"02-04-2018 12:11:18",CARE_1857_FA1_CG1,0
"02-04-2018 12:11:18",CARE_1857_FA1_RF1,0
"02-04-2018 12:11:19",CARE_1864_FA1_CG1,0
"02-04-2018 12:11:19",CARE_1864_FA1_RF1,0
"02-04-2018 12:11:20",CARE_1866_FA1_CG1,0
"02-04-2018 12:11:20",CARE_1866_FA1_RF1,0
"02-04-2018 12:12:35",CARE_2052_FA1_CG1,0
"02-04-2018 12:12:35",CARE_2052_FA1_RF1,0
"02-04-2018 12:12:35",CARE_2053_FA1_CG1,0
"02-04-2018 12:12:35",CARE_2053_FA1_RF1,0
"02-04-2018 12:12:43",CARE_2073_FA1_CG1,1
"02-04-2018 12:12:43",CARE_2073_FA1_RF1,1
"02-04-2018 12:12:44",CARE_2074_FA1_CG1,1
"02-04-2018 12:12:44",CARE_2074_FA1_RF1,1
"02-04-2018 12:12:44",CARE_2080_FA1_CG1,1
"02-04-2018 12:12:44",CARE_2080_FA1_RF1,1
"02-04-2018 12:12:44",CARE_2081_FA1_CG1,1
"02-04-2018 12:12:44",CARE_2081_FA1_RF1,1
"02-04-2018 12:12:46",CARE_2326_FA1_CG1,1
"02-04-2018 12:12:46",CARE_2326_FA1_RF1,1
"02-04-2018 12:12:56",CARE_2329_FA1_CG1,0
"02-04-2018 12:12:56",CARE_2329_FA1_RF1,0
"02-04-2018 12:12:56",CARE_2329_FA2_CG1,0
"02-04-2018 12:12:56",CARE_2329_FA2_RF1,0
"02-04-2018 12:13:13",CARE_2369_FA1_CG1,1
"02-04-2018 12:13:13",CARE_2369_FA1_RF1,1
"02-04-2018 12:13:14",CARE_2370_FA1_CG1,1
"02-04-2018 12:13:14",CARE_2370_FA1_RF1,1
"02-04-2018 12:13:54",CARE_2381_FA1_CG1,1
"02-04-2018 12:13:54",CARE_2381_FA1_RF1,1
"02-04-2018 12:13:54",CARE_2381_FA2_RF1,1
"02-04-2018 12:12:49",CARE_2628_FA1_CG1,1
"02-04-2018 12:12:49",CARE_2628_FA1_RF1,1
"02-04-2018 12:12:50",CARE_5073_FA1_CG1,1
"02-04-2018 12:12:50",CARE_5073_FA1_RF1,1
"02-04-2018 12:12:50",CARE_5271_FA1_CG1,1
"02-04-2018 12:12:50",CARE_5271_FA1_RF1,1
"02-04-2018 12:12:50",CARE_5273_FA1_CG1,0
"02-04-2018 12:12:50",CARE_5273_FA1_RF1,0
"02-04-2018 12:12:51",CARE_5292_FA1_CG1,0
"02-04-2018 12:12:51",CARE_5292_FA1_RF1,0
"02-04-2018 12:13:17",CPVC_1350_FA1_CG1,1
"02-04-2018 12:13:17",CPVC_1350_FA1_RF1,1
"02-04-2018 12:05:15",CPVC_1612_FA1_RF1,1
"02-04-2018 12:05:15",CPVC_1612_FA2_RF1,1
"02-04-2018 12:18:37",DANF_0003_FA1_CG1,99
"02-04-2018 12:18:37",DANF_0003_FA1_RF1,99
"02-04-2018 12:04:07",DANF_0022_FA1_CG1,1
"02-04-2018 12:04:07",DANF_0022_FA1_RF1,1
"02-04-2018 12:12:46",DANF_0238_FA1_CG1,99
"02-04-2018 12:12:46",DANF_0238_FA1_RF1,99
"02-04-2018 12:13:38",DANF_1005_FA1_CG1,99
"02-04-2018 12:13:38",DANF_1005_FA1_RF1,99
"02-04-2018 12:14:48",DANF_1222_FA1_CG1,99
"02-04-2018 12:14:48",DANF_1222_FA1_RF1,99
"02-04-2018 12:14:48",DANF_1222_FA2_CG1,99
"02-04-2018 12:14:48",DANF_1222_FA2_RF1,99
"02-04-2018 12:15:27",DANF_1298_FA1_CG1,1
"02-04-2018 12:15:27",DANF_1298_FA1_RF1,1
"02-04-2018 12:06:05",DANF_1610_FA1_CG1,99
"02-04-2018 12:06:05",DANF_1610_FA1_RF1,99
"02-04-2018 12:06:05",DANF_1610_FA2_RF1,99
"02-04-2018 12:12:45",DANF_2134_FA1_CG1,99
"02-04-2018 12:12:45",DANF_2134_FA1_RF1,99
"02-04-2018 12:13:12",DANF_2357_FA1_CG1,99
"02-04-2018 12:13:12",DANF_2357_FA1_RF1,99
"02-04-2018 12:04:28",EMER_0050_AFA1_CG1,1
"02-04-2018 12:04:28",EMER_0050_AFA1_RF1,0
"02-04-2018 12:04:29",EMER_0061_AFA1_CG1,0
"02-04-2018 12:04:29",EMER_0061_AFA1_RF1,0
"02-04-2018 12:04:44",EMER_0116_AFA1_CG1,0
"02-04-2018 12:04:44",EMER_0116_AFA1_RF1,0
"02-04-2018 12:12:29",EMER_0185_AFA1_CG1,1
"02-04-2018 12:12:29",EMER_0185_AFA1_RF1,1
"02-04-2018 12:12:44",EMER_0225_AFA1_CG1,0
"02-04-2018 12:12:44",EMER_0225_AFA1_RF1,1
"02-04-2018 12:12:45",EMER_0228_AFA1_CG1,1
"02-04-2018 12:12:45",EMER_0228_AFA1_RF1,1
"02-04-2018 12:12:46",EMER_0255_AFA1_CG1,0
"02-04-2018 12:12:46",EMER_0255_AFA1_RF1,0
"02-04-2018 12:12:47",EMER_0304_AFA1_CG1,0
"02-04-2018 12:12:47",EMER_0304_AFA1_RF1,1
"02-04-2018 12:12:48",EMER_0310_AFA1_CG1,0
"02-04-2018 12:12:48",EMER_0310_AFA1_RF1,0
"02-04-2018 12:12:50",EMER_0459_AFA1_CG1,1
"02-04-2018 12:12:50",EMER_0459_AFA1_RF1,1
"02-04-2018 12:13:28",EMER_0692_AFA1_CG1,0
"02-04-2018 12:13:28",EMER_0692_AFA1_RF1,1
"02-04-2018 12:14:02",EMER_1204_AFA1_CG1,0
"02-04-2018 12:14:02",EMER_1204_AFA1_RF1,0
"02-04-2018 12:14:03",EMER_1205_AFA1_CG1,1
"02-04-2018 12:14:03",EMER_1205_AFA1_RF1,0
"02-04-2018 12:14:04",EMER_1209_AFA1_CG1,0
